ASF Name,Total_calls,Avg_time_taken,Rank
A To Z Solution,1,3.0,1
A.B. Services,1,23.0,2
ANSHU REPAIRING CENTRE,1,0.0,3
ATHARV ELETROINCS,1,11.0,4
Acs Infotech,1,24.0,5
Amrin Enterprise,1,21.0,6
BABA ENTERPRISES,1,14.0,7
Bandhan Security & Outsourcing,1,3.0,8
Braj Electronics,1,4.0,9
COOL HOME,1,64.0,10
Digital Solution,1,5.0,11
FAST SOLUTION,1,0.0,12
HARI HARA SERVICES,1,0.0,13
Hanuman Electronic Services,1,2.0,14
Huzefa Electronics,1,22.0,15
J.D.ENTERPRISE,1,55.0,16
JAY GIGEV ENTERPRISE,1,24.0,17
Khushi Electronics,1,5.0,18
M S ENTERPRISES,1,1.0,19
MAA Tara Electronics,1,26.0,20
N S Enterprise,1,6.0,21
NANDINI ELECTRONICS,1,3.0,22
Nayak Refrigeration,1,33.0,23
Om Agency,1,16.0,24
Pranjal Services,1,78.0,25
RAKESH ELECTRONICS,1,16.0,26
RGT ELECTRONICS AND COMPUTER,1,16.0,27
SARAVANA CO,1,13.0,28
SMART SERVICES,1,15.0,29
Sai Associates,1,21.0,30
Sandeep Electronics And Electricals,1,85.0,31
Service Point,1,1.0,32
Shaiks Electronics Services,1,1.0,33
Shubh Labh Trading Company,1,29.0,34
Sri Maruthi Vinayaka Services,1,26.0,35
Sri Services,1,2.0,36
Vishveshwari Service,1,11.0,37
ACTUAL SERVICES ENTERPRISE,2,177.0,38
ALIK ENTERPRISE,2,5.5,39
Abhi Solution,2,6.0,40
Best Service,2,23.5,41
D2 Marketing ,2,51.0,42
DEEPA COMMUNICATION,2,2.5,43
EXCELLENT SERVICES,2,4.0,44
G S ELECTRONICS,2,22.5,45
HIMJA SERVICES,2,37.5,46
KRISHNA TRADING,2,6.0,47
MAHAKALI ELECTRONICS,2,54.0,48
Maa Mangala Refrigeration,2,1.5,49
Micro Electronics,2,8.0,50
Nikita Communication,2,6.0,51
PERFECT MOBILE SHOPEE,2,8.5,52
R K Electronics,2,18.5,53
R. M. SERVICES,2,4.0,54
RADHE RAHE SERVCICE,2,14.0,55
SHREE SAI SERVICES,2,134.5,56
SHREE SAMARTH ENTERPRISES,2,98.5,57
Shree Krishna Refrigeration,2,21.5,58
Shreeraj Service,2,7.5,59
Unique Care Services ,2,7.5,60
VISHWAS SERVICE POINT,2,8.0,61
Awesh Electronic And Electrical,3,9.666666666666666,62
BHARAT IT SERVICE ,3,30.0,63
Chamunda Electronics And Service Center,3,14.0,64
Classic Services,3,15.333333333333334,65
DOLBY ELECTRONICS,3,12.333333333333334,66
Guramrit Enterprises,3,3.6666666666666665,67
Himalay Refrigeration And Air Conditoner,3,29.0,68
ICON INFOSYS,3,21.0,69
Intact Services,3,12.666666666666666,70
JAI BHAVANI COMPUTER,3,11.0,71
KANADE REFRIGERATION,3,89.66666666666667,72
M/S Sangita,3,5.0,73
M/s. Maa Durga Enterprise,3,25.333333333333332,74
MS ELECTRONICS ,3,1.0,75
Prabhukrupa Mobile,3,44.0,76
RAJ ELECTRONICS,3,11.666666666666666,77
 SHRI GANESH ENTEPRISE,4,9.75,78
Chand Refrigeration,4,6.25,79
Delta Services ,4,10.75,80
GLAD SERVICES,4,3.0,81
HI Tech Service Solution,4,16.0,82
INFOFIX COMPUTERS,4,3.5,83
Joyashri Enterprise,4,7.75,84
KOHINOOR ELECTRONICS,4,9.5,85
MSK Service Centre,4,115.25,86
Metro Cooling,4,15.5,87
Paras Electronics,4,54.5,88
S S Enterprise,4,23.25,89
SHRI SAI SERVICE,4,38.75,90
Sb Enterprise,4,5.75,91
Sri Jyoti Services ,4,10.5,92
The Best Services,4,24.75,93
WECARE TECH SUPPORT,4,8.75,94
GLOBAL IT NET,5,9.4,95
New Anushaka & Sons Begusarai,5,32.2,96
POOJA SERVICES,5,14.0,97
RAVI ELECTRONICS,5,11.8,98
SRI SASTHA ELECTRONICS,5,13.2,99
Suyog Enterprises,5,31.0,100
Tej Electronics,5,0.0,101
UDAY ELECTRONIC VIDISHA(M.P),5,24.2,102
VINAYAK ENTERPRISES DSA,5,1.6,103
GHANDI SERVICES,6,6.666666666666667,104
HANDA REFRIGERATION ,6,3.1666666666666665,105
K Noor Refrigerations ,6,1.8333333333333333,106
Krishna Electronics Service Center,6,1.5,107
Lucky Electronics,6,16.166666666666668,108
M-Tech Services,6,4.333333333333333,109
M/s Gold Star,6,15.166666666666666,110
New Anshu Computer,6,5.0,111
RKB Enterprise,6,13.833333333333334,112
Dollar Shop,7,20.285714285714285,113
New Digital World,7,75.28571428571429,114
Riyaz Shaikh Munna,7,20.142857142857142,115
Shanmuga Agency,7,12.428571428571429,116
Swarnim Computers,7,5.0,117
TECHNO RUDRA,7,7.571428571428571,118
Tejas Electronics,7,25.428571428571427,119
Teknodome India Pvt. Ltd.(Jaipur),7,434.42857142857144,120
V M ENTERPRISES,7,7.571428571428571,121
 OM SAI REFRIGERATION ,8,9.375,122
3star Electronics,8,17.125,123
Ans Enterprises,8,7.875,124
Central Service,8,8.875,125
